Season,Episode,Ratings,Votes,Viewers,Duration,year
1,Pilot,7.5,4936,11.2,23,2005
1,Diversity Day,8.3,4801,6,23,2005
1,Health Care,7.8,4024,5.8,22,2005
1,The Alliance,8.1,3915,5.4,23,2005
1,Basketball,8.4,4294,5,23,2005
1,Hot Girl,7.7,3854,4.8,23,2005
2,The Dundies,8.7,4315,9,21,2005
2,Sexual Harassment,8.2,3665,7.13,22,2005
2,Office Olympics,8.4,3665,8.3,22,2005
2,The Fire,8.4,3607,7.6,22,2005
2,Halloween,8.1,3392,8,30,2005
2,The Fight,8.1,3388,7.9,22,2005
2,The Client,8.6,3533,7.5,22,2005
2,Performance Review,8.2,3216,8,22,2005
2,E-Mail Surveillance,8.4,3338,8.1,23,2005
2,Christmas Party,8.9,3663,9.7,22,2005
2,Booze Cruise,8.6,3536,8.7,22,2006
2,The Injury,9.1,4314,10.3,22,2006
2,The Secret,8.3,3142,8.7,22,2006
2,The Carpet,7.8,3118,8.6,22,2006
2,Boys and Girls,8.2,3091,5.42,22,2006
2,Valentine's Day,8.3,3104,8.95,22,2006
2,Dwight's Speech,8.5,3283,8.4,22,2006
2,Take Your Daughter to Work Day,8.3,3212,8.8,21,2006
2,Michael's Birthday,8.1,3094,7.8,22,2006
2,Drug Testing,8.4,3172,7.8,22,2006
2,Conflict Resolution,8.7,3253,7.4,22,2006
2,Casino Night,9.4,4765,7.6,29,2006
3,Gay Witch Hunt,9,4133,9.11,23,2006
3,The Convention,8.2,3027,7.78,22,2006
3,The Coup,8.5,3175,8.89,22,2006
3,Grief Counseling,8,3049,8.83,22,2006
3,Initiation,8.1,2976,8.46,22,2006
3,Diwali,7.9,3082,8.81,22,2006
3,Branch Closing,8.6,3021,8.05,31,2006
3,The Merger,8.7,3166,8.63,30,2006
3,The Convict,8.3,3151,9.07,30,2006
3,A Benihana Christmas,8.8,3343,8.44,42,2006
3,Back from Vacation,8.5,3001,8.8,21,2007
3,Traveling Salesmen,8.6,3053,10.12,22,2007
3,The Return,8.8,3211,10.2,28,2007
3,Ben Franklin,8.1,2975,10.11,21,2007
3,Phyllis' Wedding,8.2,2995,8.84,21,2007
3,Business School,8.9,3460,8.84,22,2007
3,Cocktails,8.5,2969,8.3,21,2007
3,The Negotiation,9,3368,6.74,30,2007
3,Safety Training,8.8,3164,7.71,21,2007
3,Product Recall,8.7,3138,7.56,21,2007
3,Women's Appreciation,8.8,3158,7,29,2007
3,Beach Games,9.2,3641,7.2,28,2007
3,The Job,9.3,3898,7.88,42,2007
4,Fun Run,8.8,3635,9.7,42,2007
4,Dunder Mifflin Infinity,8.3,2934,8.49,42,2007
4,Launch Party,8.4,2844,8.91,42,2007
4,Money,8.7,3073,8.5,42,2007
4,Local Ad,8.8,3125,8.98,22,2007
4,Branch Wars,8.5,2878,8.39,30,2007
4,Survivor Man,8.2,2775,8.29,30,2007
4,The Deposition,8.7,2923,8.86,30,2007
4,Dinner Party,9.5,5601,9.22,30,2008
4,Chair Model,8,2757,9.81,30,2008
4,Night Out,8.6,2872,7.56,21,2008
4,Did I Stutter?,8.3,2756,7.67,22,2008
4,Job Fair,7.8,2627,7.22,30,2008
4,"Goodbye, Toby",9.3,3939,8.07,42,2008
5,Weight Loss,8.8,3264,9.2,43,2008
5,Business Ethics,8.3,2654,8.99,22,2008
5,Baby Shower,8,2621,8.07,22,2008
5,Crime Aid,8.1,2525,7.74,30,2008
5,Employee Transfer,8,2600,9.32,22,2008
5,Customer Survey,8.5,2717,8.35,22,2008
5,Business Trip,8.2,2516,8.18,30,2008
5,Frame Toby,8.6,2799,8.4,30,2008
5,The Surplus,8.8,2776,8.33,22,2008
5,Moroccan Christmas,8.4,2613,8.79,30,2008
5,The Duel,8.7,2711,8.5,30,2009
